,artist_name,track_name,track_id,popularity
500,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
501,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
502,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
503,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
504,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
505,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
506,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
507,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
508,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
509,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
510,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
511,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
512,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
513,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
514,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
515,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
516,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
517,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
518,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
519,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
520,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
521,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
522,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
523,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
524,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
525,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
526,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
527,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
528,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
529,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
530,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
531,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
532,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
533,Juice WRLD,Juice WRLD Speaks,1fw2lym3kCvhxbIs8UQGHk,74
534,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,86
535,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
536,Juice WRLD,Juice WRLD Speaks From Heaven - Outro,1OjiYjgPZyxS0AiXiSnuYI,61
537,Juice WRLD,Wandered To LA (with Justin Bieber),5J6rTmMjF9DVIAF8G3M9n4,86
538,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,86
539,Juice WRLD,Burn,0QwKxajohg1rAMMmv1AWe1,83
540,Juice WRLD,Juice WRLD Speaks 2,2pumRJcJLkPPejrEvwLAlu,74
541,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88
542,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,85
